,Churn,Partner_No,Partner_Yes,SeniorCitizen_No,SeniorCitizen_Yes,Dependents_No,Dependents_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_Yes,TechSupport_No,TechSupport_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,SqrtMonthlyCharges,Bintenure
13,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,4.404543109109048,4
14,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,9.167878707749137,6
15,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,9.16515138991168,11
16,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,4.4777226354476225,8
17,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,4.488875137492688,1
18,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,7.736278174936576,9
19,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,7.310950690573696,10
20,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,4.427188724235731,2
21,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,8.028075734570521,12
22,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,10.599528291391085,12
23,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,9.439279633531363,4
24,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,10.242070103255495,10
25,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,7.13792686989717,1
26,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,8.941476388158724,6
27,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,8.387490685538792,1
28,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,8.573214099741124,5
29,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,4.516635916254486,8
30,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,9.677293009927931,9
31,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,8.891006692158093,12
32,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,6.789698078707183,1
33,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,9.260129588726068,12
34,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,8.683317338436964,12
35,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,8.61974477580398,11
36,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,8.99166280506559,2
37,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,5.024937810560445,9
38,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,10.545141061171254,4
39,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,8.935882720806042,9
40,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,9.565563234854496,6
41,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,8.983317872590282,4
42,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,7.395944834840239,4
43,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,9.303225247192502,2
44,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,5.103920062069938,4
45,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,4.488875137492688,2
46,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,7.5,8
47,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,4.488875137492688,3
48,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,8.941476388158724,11
49,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,10.007497189607399,2
50,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,6.360031446463139,8
51,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,10.23474474522936,10
52,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,9.23038460737146,2
53,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,4.538722287164087,10
54,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,10.823585357911675,12
55,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,4.43846820423443,10
56,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,4.421538193886829,1
57,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,4.4777226354476225,1
58,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,7.599342076785332,4
59,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,7.842193570679061,3
60,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,10.445094542415593,7
61,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,10.49047186736612,9
62,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,9.661780374237452,6
63,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,7.116881339463234,1
64,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,8.17618492941543,12
65,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,4.533210782657255,11
66,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,9.35681569766125,12
67,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,4.43846820423443,12
68,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,9.78008179924892,2
69,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,7.063993204979744,1
70,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,10.012492197250394,5
71,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,8.009369513263826,9
72,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,5.0099900199501395,1
73,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,4.376071297408213,5
74,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,9.797958971132712,2
75,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,7.5099933422074345,12
76,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,8.613942186943213,1
77,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,8.19756061276768,12
78,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,4.934571916590131,12
79,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,4.969909455915671,4
80,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,10.16366075781753,4
81,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,4.4777226354476225,7
82,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,8.972179222463181,5
83,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,10.009995004993758,5
84,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,10.542770034483347,7
85,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,8.988882021697693,1
86,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,4.47213595499958,1
87,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,9.008329478876759,6
88,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,8.910667763978186,1
89,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,8.148619514985345,10
90,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,6.371812928829597,11
91,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,4.421538193886829,11
92,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,8.330666239863412,1
93,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,9.733961166965893,2
94,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,7.469939758793239,4
95,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,6.689544080129826,1
96,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,9.478923989567592,1
97,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,8.55277732669336,7
98,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,7.406078584514209,2
99,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,8.927485648266257,1
100,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,7.148426400264607,3
101,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,9.173330910852394,4
102,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,5.449770637375485,1
103,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,8.94427190999916,1
104,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,4.460941604639093,1
105,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,9.436630754670864,5
106,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,8.694826047713663,2
107,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,9.082951062292475,11
108,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,9.058145505565696,8
109,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,8.408329203831164,1
110,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,8.697700845625814,1
111,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,4.984977432245807,7
112,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,10.237187113655782,5
113,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,4.421538193886829,1
114,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,9.052623929005335,1
115,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,10.087120500916008,12
116,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,4.494441010848846,5
117,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,4.455333881989093,1
118,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,8.709190547921201,2
119,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,6.6670833203133135,5
120,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,4.47213595499958,1
121,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,9.78008179924892,10
122,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,5.0,11
123,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,4.449719092257398,7
124,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,7.063993204979744,1
125,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,8.34565755348253,1
126,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,4.58257569495584,9
127,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,9.518403227432634,12
128,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,10.389898940798222,1
129,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,6.407027391856539,10
130,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,7.134423592694787,1
131,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,8.916277250063503,2
132,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,8.402380615040002,1
133,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,8.06225774829855,9
134,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,9.270922284217466,12
135,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,9.715966241192895,10
136,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,8.535221145348256,2
137,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,5.92452529743945,4
138,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,10.658330075579382,10
139,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,9.257429448826494,1
140,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,10.052362906302179,4
141,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,9.726253132630262,4
142,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,10.024968827881711,6
143,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,6.723094525588644,1
144,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,9.189668111526117,3
145,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,9.70051545022222,4
146,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,6.978538528947161,11
147,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,4.449719092257398,2
148,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,10.032447358446493,10
149,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,7.290404652692469,4
150,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,4.421538193886829,10
151,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,8.372574275573792,10
152,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,9.759610647971568,10
153,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,7.14142842854285,1
154,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,4.533210782657255,6
155,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,10.363397126425292,12
156,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,9.12414379544733,1
157,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,10.0174847142384,3
158,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,9.866610360199697,6
159,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,5.044799302251775,7
160,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,8.224962005991275,6
161,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,8.285529554590944,4
162,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,6.252999280345393,4
163,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,10.039920318408907,3
164,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,4.347413023856832,1
165,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,4.410215414239989,11
166,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,8.868483523128406,4
167,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,8.160882305241266,3
168,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,10.094552986635911,5
169,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,4.3531597719357835,9
170,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,9.16515138991168,2
171,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,8.61974477580398,1
172,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,5.029910535983717,3
173,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,9.478923989567592,6
174,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,7.880355321938218,6
175,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,7.729812416870153,12
176,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,5.9497899122574065,9
177,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,4.511097427455985,6
178,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,7.0285133563222315,2
179,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,7.039176088151226,2
180,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,10.251829105091442,3
181,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,5.412947441089743,8
182,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,9.1706052144883,4
183,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,9.303225247192502,11
184,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,9.270922284217466,1
185,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,8.366600265340756,2
186,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,10.037429949942366,8
187,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,8.988882021697693,1
188,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,9.74422906134703,4
189,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,4.449719092257398,3
190,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,4.39317652729776,7
191,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,7.459892760623306,12
192,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,10.409130607308182,6
193,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,7.7781745930520225,9
194,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,9.754486147409304,3
195,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,4.944694126030447,10
196,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,10.022474744293447,3
197,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,4.964876634922564,12
198,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,8.654478609367523,1
199,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,8.387490685538792,9
200,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,8.446892919884801,2
201,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,4.516635916254486,3
